gene,DEstatus.2
SRSF2,FALSE
PRPSAP1,FALSE
ZNF77,FALSE
LINC00909,FALSE
GNG2,FALSE
GPT2,FALSE
GRIN2C,TRUE
SAP30BP,FALSE
BRD7,FALSE
FDXR,TRUE
SUGP2,FALSE
POLDIP2,FALSE
RP11-325F22.5,TRUE
PHF21A,FALSE
PRR5L,FALSE
TIRAP,FALSE
CAPRIN1,FALSE
MRPL14,FALSE
NAT10,FALSE
RP11-774O3.3,TRUE
MGLL,FALSE
ATP2C1,FALSE
TNIK,TRUE
CPSF3,FALSE
RP11-539L10.3,FALSE
NCKAP5L,FALSE
SH3YL1,FALSE
EVI5,FALSE
TUBA1C,FALSE
TUBA1A,FALSE
GUCA2A,FALSE
RP11-598F7.6,TRUE
PTK2,FALSE
FOXN2,FALSE
LALBA,TRUE
COL6A3,FALSE
PIKFYVE,FALSE
ATAD3B,FALSE
SSU72,FALSE
SUCLG1,FALSE
UBE2J2,FALSE
LSM12,FALSE
MPP3,FALSE
PDE8A,FALSE
PNP,FALSE
LA16c-OS12.2,TRUE
NUDC,FALSE
GLB1L,TRUE
RP11-1060J15.7,TRUE
AL590452.1,FALSE
SGOL2,FALSE
ARHGEF9,FALSE
EDA2R,FALSE
FAM222B,FALSE
MBTPS2,FALSE
PPP1R12A,FALSE
CWC22,FALSE
SNX13,FALSE
GRINA,FALSE
EFNB1,FALSE
XXbac-BPGBPG55C20.3,TRUE
CWC15,FALSE
TMEM161A,FALSE
NELFA,FALSE
RP4-564F22.5,TRUE
SSC5D,FALSE
ZHX2,FALSE
ZFP3,FALSE
DBF4B,FALSE
MITD1,FALSE
TMEM119,FALSE
EIF5B,FALSE
KMT2E,FALSE
LINC00384,TRUE
ING3,FALSE
CROT,FALSE
HIST1H2BN,FALSE
DCAF4,FALSE
RLN3,TRUE
FOPNL,FALSE
AP000265.1,TRUE
STK36,FALSE
INSR,FALSE
SCYL1,FALSE
ITFG1,FALSE
PPP4R1,FALSE
RNF10,FALSE
CXXC1,FALSE
SKA1,FALSE
PLEKHG3,FALSE
RP11-158L12.5,TRUE
HSPA2,TRUE
ZBTB1,FALSE
RP11-788A4.1,TRUE
FCF1,FALSE
DHX57,FALSE
CCDC14,FALSE
CDC42BPB,FALSE
RP11-361F15.2,FALSE
KIF4A,FALSE
CCNJL,FALSE
FAM179B,FALSE
ZMYM1,FALSE
