gene,DEstatus.2
1110004F10Rik,FALSE
1110038F14Rik,FALSE
1110059E24Rik,FALSE
1110065P20Rik,FALSE
1600012H06Rik,FALSE
1600014C10Rik,FALSE
1700017B05Rik,FALSE
1700030K09Rik,FALSE
1700109H08Rik,FALSE
1700123O20Rik,TRUE
1810030O07Rik,FALSE
1810037I17Rik,FALSE
1810055G02Rik,FALSE
2200002D01Rik,FALSE
2210016L21Rik,TRUE
2210408I21Rik,FALSE
2310009B15Rik,TRUE
2310011J03Rik,FALSE
2310022A10Rik,FALSE
2310022B05Rik,FALSE
2310033P09Rik,FALSE
2310039H08Rik,FALSE
2310057M21Rik,FALSE
2310061I04Rik,FALSE
2410004B18Rik,FALSE
2510002D24Rik,FALSE
2510039O18Rik,FALSE
2610008E11Rik,FALSE
2610021A01Rik,FALSE
2700049A03Rik,FALSE
2700062C07Rik,FALSE
2810004N23Rik,FALSE
2810021J22Rik,FALSE
2900026A02Rik,FALSE
3110082I17Rik,FALSE
3300002I08Rik,FALSE
4833439L19Rik,FALSE
4921524J17Rik,FALSE
4930453N24Rik,FALSE
4930503L19Rik,FALSE
4930522L14Rik,FALSE
4930523C07Rik,FALSE
4930579G24Rik,TRUE
4933427D14Rik,FALSE
5730455P16Rik,TRUE
5730480H06Rik,FALSE
6030458C11Rik,TRUE
9130401M01Rik,FALSE
A430005L14Rik,FALSE
A430033K04Rik,FALSE
A4galt,FALSE
A630089N07Rik,FALSE
AB010352,FALSE
AI597479,TRUE
AI837181,FALSE
AI987944,FALSE
AU022252,TRUE
AU040320,FALSE
AU041133,FALSE
AW209491,FALSE
Aaas,FALSE
Aacs,FALSE
Aagab,FALSE
Aak1,FALSE
Aamdc,FALSE
Aamp,FALSE
Aar2,FALSE
Aars1,FALSE
Aars2,FALSE
Aarsd1,FALSE
Aasdh,TRUE
Aasdhppt,FALSE
Aatf,FALSE
Abca1,FALSE
Abca2,FALSE
Abca5,FALSE
Abcb10,FALSE
Abcb1b,FALSE
Abcb6,TRUE
Abcb7,FALSE
Abcb8,FALSE
Abcc1,FALSE
Abcc5,FALSE
Abcd1,FALSE
Abcd3,FALSE
Abcd4,FALSE
Abce1,FALSE
Abcf1,FALSE
Abcf2,FALSE
Abcf3,FALSE
Abcg2,FALSE
Abhd1,FALSE
Abhd10,FALSE
Abhd11,FALSE
Abhd12,FALSE
Abhd13,FALSE
Abhd16a,FALSE
Abhd17a,FALSE
Abhd17b,FALSE
Abhd17c,FALSE
Abhd2,FALSE
Abhd5,FALSE
Abhd8,FALSE
Abi1,FALSE
Abi2,FALSE
Abi3bp,FALSE
Abitram,TRUE
Abl1,FALSE
Abl2,FALSE
Ablim1,FALSE
Abracl,FALSE
Abraxas1,FALSE
Abraxas2,FALSE
Abt1,TRUE
Abtb1,FALSE
Abtb2,FALSE
Abtb3,FALSE
Acaa1a,FALSE
Acaa2,FALSE
Acaca,FALSE
Acad8,FALSE
Acad9,FALSE
Acadl,FALSE
Acadm,FALSE
Acadsb,FALSE
Acadvl,FALSE
Acap2,FALSE
Acat1,FALSE
Acat3,FALSE
Acbd3,FALSE
Acbd4,FALSE
Acbd5,FALSE
Acbd6,FALSE
