gene,DEstatus.2
A0A024R261,FALSE
A0A024R785,FALSE
A0A024RBW1,FALSE
A0A087WUQ7,FALSE
A0A087WZU4,FALSE
A0A087WZZ7,FALSE
A0A087X0G5,FALSE
A0A087X0L7,FALSE
A0A087X0P8,FALSE
A0A087X1W8,FALSE
A0A0A0MRC9,FALSE
A0A0A0MSF2,FALSE
A0A0A0MSI8,FALSE
A0A0D9SGE6,FALSE
A0A0U1RRH6,FALSE
A0A0X1KG68,FALSE
A0A182DWI3,FALSE
A0A1W2PQ16,FALSE
A0A1W2PQQ1,FALSE
A0A1W2PQZ2,FALSE
A0A1W2PRS4,FALSE
A0A2R8Y5I6,FALSE
A0A2R8Y756,FALSE
A0A2R8YHF6,FALSE
A0A494C0B9,FALSE
A0A5F9UKL4,FALSE
A1BG-AS1,FALSE
A2M,FALSE
A2M-AS1,FALSE
A2ML1-AS1,FALSE
AAAS,FALSE
AACS,FALSE
AAGAB,FALSE
AAK1,FALSE
AAMDC,FALSE
AAR2,FALSE
AARS1,FALSE
AARS2,FALSE
AASDH,FALSE
AASDHPPT,FALSE
AASDHPPT-AS1,FALSE
AATK,FALSE
ABAT,FALSE
ABCA1,FALSE
ABCA2,FALSE
ABCA5,FALSE
ABCA6,FALSE
ABCA7,FALSE
ABCA9,FALSE
ABCB10,FALSE
ABCB7,FALSE
ABCB8,FALSE
ABCB9,FALSE
ABCC10,FALSE
ABCC3,FALSE
ABCC4,FALSE
ABCC5,FALSE
ABCC5-AS1,FALSE
ABCD1,FALSE
ABCD3,FALSE
ABCD4,FALSE
ABCE1,FALSE
ABCF2,FALSE
ABCF3,FALSE
ABCG1,FALSE
ABCG2,FALSE
ABHD10,FALSE
ABHD12,FALSE
ABHD14B,FALSE
ABHD15,FALSE
ABHD16B,FALSE
ABHD18,FALSE
ABHD2,FALSE
ABHD3,FALSE
ABHD4,FALSE
ABHD5,FALSE
ABHD6,FALSE
ABI1,FALSE
ABI2,FALSE
ABI3,FALSE
ABI3BP,FALSE
ABITRAM,FALSE
ABL1,FALSE
ABL2,FALSE
ABLIM1,FALSE
ABR,FALSE
ABRACL,FALSE
ABRAXAS1,FALSE
ABT1,FALSE
ABT1P1,FALSE
ABTB1,FALSE
ACAA1,FALSE
ACAA2,FALSE
ACAD10,FALSE
ACAD11,FALSE
ACAD8,FALSE
ACAD9,FALSE
ACADM,FALSE
ACADS,FALSE
ACADSB,FALSE
ACAP1,FALSE
ACAP2,FALSE
ACAP2-IT1,FALSE
ACAP3,FALSE
ACAT1,FALSE
ACBD3,FALSE
ACBD3-AS1,FALSE
ACBD4,FALSE
ACBD5,FALSE
ACCS,FALSE
ACE,FALSE
ACER3,FALSE
ACIN1,FALSE
ACKR4,FALSE
ACLY,FALSE
ACO1,FALSE
ACO2,FALSE
ACOT1,FALSE
ACOT11,FALSE
ACOT13,FALSE
ACOT7,FALSE
ACOT9,FALSE
