transcriptid	foldchange.1	foldchange.2	DEstatus.1	DEstatus.2
NM_001408103.1	1	1.65856013817868	FALSE	TRUE
XM_017318244.3	1	1.465804280701	FALSE	TRUE
XM_006497119.4	1	1	FALSE	FALSE
NM_001289558.2	1	1	FALSE	FALSE
XM_006498750.5	1	1	FALSE	FALSE
XM_036161058.1	1	2.08541622531241	FALSE	TRUE
NM_001080934.1	1	1	FALSE	FALSE
NM_008415.6	1	1	FALSE	FALSE
NM_001411900.1	1	1	FALSE	FALSE
NM_001372416.1	1	1.59603690074693	FALSE	TRUE
NM_001417345.1	1	1	FALSE	FALSE
XM_030248538.2	1	1.90349639333629	FALSE	TRUE
NM_008601.4	1	1	FALSE	FALSE
NM_134111.2	1	3.02793057310923	FALSE	TRUE
XM_011247277.2	1	1.67446486032083	FALSE	TRUE
XM_017318106.3	1	1	FALSE	FALSE
NM_146043.5	1	2.73701643607942	FALSE	TRUE
NM_001347547.1	1	1	FALSE	FALSE
NM_175519.5	1	1.68052214361167	FALSE	TRUE
XM_006518757.4	1	2.16861731997656	FALSE	TRUE
NM_001410058.1	1	1	FALSE	FALSE
XM_006517956.5	1	2.42457213397964	FALSE	TRUE
XM_036152539.1	1	1	FALSE	FALSE
NM_025722.3	1	1	FALSE	FALSE
XM_011250788.4	1	1	FALSE	FALSE
XM_030244717.2	1	1.51392550341502	FALSE	TRUE
NM_172521.2	1	1	FALSE	FALSE
XM_006510883.3	1	2.1857454707741	FALSE	TRUE
NM_001177957.2	1	1.52271935420295	FALSE	TRUE
NM_007713.5	1	2.55726190744413	FALSE	TRUE
XM_006535098.5	1	1	FALSE	FALSE
NM_001190448.1	1	1	FALSE	FALSE
NM_001253705.1	1	1	FALSE	FALSE
NM_001103152.1	1	2.26617823469761	FALSE	TRUE
XM_011245652.3	1	1	FALSE	FALSE
NM_172730.2	1	1	FALSE	FALSE
XM_006536236.4	1	2.34702582518193	FALSE	TRUE
XM_006510036.5	1	1	FALSE	FALSE
XM_030248026.1	1	1	FALSE	FALSE
NM_012014.5	1	1	FALSE	FALSE
NM_001177405.1	1	1.73780156709807	FALSE	TRUE
NM_001395904.1	1	1.90234651077248	FALSE	TRUE
XM_030244600.2	1	1.65349845909051	FALSE	TRUE
XM_036161478.1	1	1	FALSE	FALSE
XM_006530600.5	1	1	FALSE	FALSE
XM_036163728.1	1	1	FALSE	FALSE
NM_001081063.2	1	3.12217462930786	FALSE	TRUE
NM_001412530.1	1	1	FALSE	FALSE
XM_036164434.1	1	2.08360500577367	FALSE	TRUE
NM_010046.4	1	1	FALSE	FALSE
NM_023900.3	1	1	FALSE	FALSE
XM_036164461.1	1	1	FALSE	FALSE
XM_011246778.3	1	2.55281261627537	FALSE	TRUE
NM_019435.5	1	1	FALSE	FALSE
NM_001355617.1	1	2.33222650065072	FALSE	TRUE
XM_011240871.4	1	1.85329957661051	FALSE	TRUE
NM_009003.5	1	3.08581350656018	FALSE	TRUE
XM_006496188.4	1	2.45980334930582	FALSE	TRUE
NM_011823.5	1	1	FALSE	FALSE
NM_001379467.2	1	1	FALSE	FALSE
XM_006530116.4	1	1.88513567531345	FALSE	TRUE
XM_030243842.1	1	1	FALSE	FALSE
XM_011248293.3	1	1	FALSE	FALSE
XM_030244908.2	1	1	FALSE	FALSE
XM_030243274.1	1	2.40546945415731	FALSE	TRUE
XM_017320345.3	1	1	FALSE	FALSE
XM_006499487.5	1	1.42501574940745	FALSE	TRUE
NM_001425998.1	1	1	FALSE	FALSE
XM_036164320.1	1	1	FALSE	FALSE
